steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
6780000	4700972	20960.31791996956	1.4889428904534217	1.3001212139653282	1.4973937770592736	4.445330421799375	-0.024975111605894502	2.4773206923180844	0.13752291780240086	6730
6790000	4707947	20991.0233604908	2.7938483665138336	2.3755158085246237	1.6580311786455297	4.475469570468174	0.26912441866919246	2.394082727960116	0.1358612856156588	6740
6800000	4715062	21021.797456741333	2.1223529328519466	2.374298790392923	1.8873553115399904	4.475234973448506	-0.04870403356779508	2.3765561671791486	0.1397860963583386	6750
6810001	4722053	21052.50147509575	2.32075543123067	2.375645057571191	1.494742836037947	4.475799854149952	-0.17755826624652593	2.3382164790645836	0.13862761200259005	6761
6820002	4729027	21083.425050497055	1.4251832085471643	1.3218780535391212	1.5767337997903756	4.4751505466929595	-0.12100069681787548	2.4352817868869585	0.13688862858117637	6771
6830000	4736081	21114.20923113823	2.331613869584735	2.376872647296967	1.7796649279487808	4.47535884151505	-0.17312140074292368	2.465106961956616	0.1359938102070281	6780
6840004	4743400	21145.09471297264	1.8903085066750867	1.3006420757036123	1.991916985770462	4.475275475813578	-0.23068774881386886	2.4439722208826584	0.13534370005791438	6791
6850000	4750567	21175.844572544098	2.3571486255093745	2.3749127403894965	2.001315793303858	4.475402520047024	0.1799698234182207	2.261550092508632	0.13676418675862548	6800
6860000	4757651	21206.75506424904	1.4887742915145092	1.323759529372009	1.5181302740792364	4.4752845285686	-0.17755826624652593	2.25757529126552	0.13207265313614433	6810
6870000	4764996	21237.684499502182	1.7356507698833912	1.3260172125098475	1.7381334275441587	4.475194850618012	0.18009779653645516	2.3205833835512086	0.12845022697573275	6820
6880000	4772663	21268.651701688766	2.037744269281984	2.3509274591407445	1.97657425814559	4.464921929341735	-0.23876864520087765	2.3102512898133947	0.12913741938864032	6830
6890000	4780294	21299.60134744644	2.466209890696286	2.374847961472047	2.008138647559209	4.475321478711994	-0.31397933817793267	2.32381663255943	0.12760276538657178	6840
6900000	4787745	21330.44219326973	2.5567490476429064	3.420154143322529	2.121452156331836	4.475299206640334	0.0980624523568997	2.3425905996863396	0.12788218430988163	6850
6910000	4795351	21361.37403535843	2.1236858239442165	2.37222404668739	1.2466422697599588	4.474819775460288	-0.03459099063697288	2.2056081553927287	0.12811551600046084	6860
6920000	4803050	21393.228386878967	2.1120934574925703	1.3260928259571292	2.1455439024167586	4.4754201974020145	-0.17115475739572725	2.284345528062498	0.1248337556578925	6870
6930000	4810676	21424.167256355286	2.069043445481843	2.297671614083775	1.9304508664686078	4.474758307833867	-0.32164907749878674	2.3744617406215474	0.128184111552548	6880
6940001	4817979	21455.40021133423	2.3021897984440214	2.3687073389168383	2.2901789466738465	4.47535884151505	-0.12455944422988423	2.4251268851602488	0.12999834300117336	6891
